Year,Quarter,State,Insurance_count,Insurance_amount
2023,2,karnataka,117232,175704013.0
2023,2,maharashtra,102754,157303399.0
2023,2,tamil nadu,79698,105328191.0
2023,2,uttar pradesh,74194,122522457.0
2023,2,kerala,61032,100620604.0
2023,2,telangana,55118,79238968.0
2023,2,west bengal,49792,65204280.0
2023,2,delhi,41358,54951108.0
2023,2,haryana,40710,62186066.0
2023,2,rajasthan,37170,61301449.0
2023,3,karnataka,139699,199448538.0
2023,3,maharashtra,104872,151171882.0
2023,3,tamil nadu,91069,114625593.0
2023,3,uttar pradesh,78940,121483170.0
2023,3,kerala,66059,110021582.0
2023,3,telangana,61523,84397465.0
2023,3,west bengal,58131,76359312.0
2023,3,gujarat,51049,65768085.0
2023,3,delhi,47113,58878500.0
2023,3,andhra pradesh,43150,57802396.0
2023,4,karnataka,156076,248056311.0
2023,4,maharashtra,136968,217657114.0
2023,4,tamil nadu,104871,139433796.0
2023,4,uttar pradesh,92125,165509877.0
2023,4,kerala,73543,121905046.0
2023,4,west bengal,72712,100365562.0
2023,4,telangana,63993,105605522.0
2023,4,delhi,56336,77332401.0
2023,4,rajasthan,49741,94701652.0
2023,4,haryana,47506,80747159.0
2023,1,karnataka,127376,186543426.0
2023,1,maharashtra,112174,166596248.0
2023,1,tamil nadu,90690,116710222.0
2023,1,uttar pradesh,73080,127110494.0
2023,1,kerala,62377,101786828.0
2023,1,west bengal,56833,77461732.0
2023,1,telangana,54508,82678207.0
2023,1,delhi,45821,61040038.0
2023,1,haryana,37287,61127194.0
2023,1,andhra pradesh,34920,51963355.0
2021,2,maharashtra,70381,46763103.0
2021,2,karnataka,40969,39501006.0
2021,2,andhra pradesh,33205,22730687.0
2021,2,telangana,28870,20935651.0
2021,2,uttar pradesh,25952,25137571.0
2021,2,rajasthan,18281,14357445.0
2021,2,tamil nadu,17682,16444344.0
2021,2,west bengal,15200,12396029.0
2021,2,madhya pradesh,14803,9787391.0
2021,2,gujarat,14676,10263998.0
2021,3,maharashtra,52268,41313307.0
2021,3,karnataka,47468,48078366.0
2021,3,uttar pradesh,32799,32641118.0
2021,3,telangana,27080,20925217.0
2021,3,west bengal,24839,21424337.0
2021,3,tamil nadu,23107,23402918.0
2021,3,andhra pradesh,23075,19914338.0
2021,3,bihar,18030,18234941.0
2021,3,delhi,16679,15007079.0
2021,3,rajasthan,16643,12793862.0
2021,4,maharashtra,82423,93262227.0
2021,4,karnataka,74436,90723288.0
2021,4,uttar pradesh,44132,59654951.0
2021,4,telangana,34848,38845492.0
2021,4,delhi,34251,36578331.0
2021,4,tamil nadu,33037,42184290.0
2021,4,west bengal,26320,31282871.0
2021,4,andhra pradesh,25423,31610335.0
2021,4,bihar,22456,27313813.0
2021,4,haryana,19489,25885838.0
2021,1,maharashtra,55792,33137753.0
2021,1,karnataka,37595,30183325.0
2021,1,telangana,28298,14810947.0
2021,1,uttar pradesh,24103,18027573.0
2021,1,andhra pradesh,22105,12749874.0
2021,1,rajasthan,17800,8074225.0
2021,1,west bengal,15488,11172042.0
2021,1,madhya pradesh,14427,5567927.0
2021,1,tamil nadu,14406,11180849.0
2021,1,delhi,12822,9655261.0
2020,2,maharashtra,39836,6879717.0
2020,2,karnataka,27358,4794150.0
2020,2,andhra pradesh,22104,3982391.0
2020,2,telangana,19003,3419453.0
2020,2,delhi,11716,1897480.0
2020,2,uttar pradesh,9884,1912266.0
2020,2,gujarat,7697,1430591.0
2020,2,west bengal,7619,1432764.0
2020,2,haryana,6321,1179814.0
2020,2,madhya pradesh,6283,1198701.0
2020,3,maharashtra,71662,19230156.0
2020,3,karnataka,53701,12407394.0
2020,3,andhra pradesh,49812,12426481.0
2020,3,telangana,34395,8406543.0
2020,3,uttar pradesh,18131,4436969.0
2020,3,rajasthan,15235,3758527.0
2020,3,madhya pradesh,14476,3496126.0
2020,3,west bengal,12596,2878482.0
2020,3,gujarat,12525,3335812.0
2020,3,odisha,10955,2640191.0
2020,4,maharashtra,44798,27113814.0
2020,4,karnataka,31747,26814968.0
2020,4,andhra pradesh,21464,12985632.0
2020,4,telangana,20961,11339099.0
2020,4,uttar pradesh,17470,14180417.0
2020,4,rajasthan,12509,6471573.0
2020,4,madhya pradesh,10653,4897124.0
2020,4,tamil nadu,10290,8993575.0
2020,4,west bengal,10233,7510455.0
2020,4,gujarat,9990,6055037.0
2024,2,karnataka,142599,239304982.0
2024,2,maharashtra,118933,198945046.0
2024,2,tamil nadu,97348,135972378.0
2024,2,uttar pradesh,92458,159894258.0
2024,2,west bengal,67048,89476633.0
2024,2,kerala,65271,108142369.0
2024,2,telangana,56941,96037304.0
2024,2,rajasthan,55241,95504657.0
2024,2,bihar,49101,65285065.0
2024,2,delhi,46189,68046072.0
2024,3,karnataka,174990,287393291.0
2024,3,maharashtra,119776,201319952.0
2024,3,tamil nadu,116867,162128271.0
2024,3,uttar pradesh,92930,157303596.0
2024,3,kerala,79123,131721699.0
2024,3,west bengal,77158,107451766.0
2024,3,telangana,64873,110715264.0
2024,3,rajasthan,64533,108827800.0
2024,3,haryana,49735,79198642.0
2024,3,delhi,49150,71139489.0
2024,4,karnataka,183532,305861806.0
2024,4,maharashtra,168078,266942711.0
2024,4,tamil nadu,127002,173784251.0
2024,4,uttar pradesh,116589,199179867.0
2024,4,west bengal,91719,120602777.0
2024,4,kerala,89533,144083113.0
2024,4,telangana,78498,124755619.0
2024,4,rajasthan,73530,127930986.0
2024,4,delhi,67962,94390728.0
2024,4,bihar,62662,83739800.0
2024,1,karnataka,169357,264708700.0
2024,1,maharashtra,149016,224725389.0
2024,1,tamil nadu,111521,148976175.0
2024,1,uttar pradesh,103701,176442664.0
2024,1,west bengal,79576,104987909.0
2024,1,kerala,73106,115101791.0
2024,1,telangana,67388,105607539.0
2024,1,rajasthan,59127,102926410.0
2024,1,delhi,53050,76232346.0
2024,1,bihar,51592,63844442.0
2022,2,karnataka,93385,123228632.0
2022,2,maharashtra,80935,104603934.0
2022,2,uttar pradesh,55133,77434953.0
2022,2,tamil nadu,46714,61835120.0
2022,2,telangana,45600,58056956.0
2022,2,kerala,35667,59920203.0
2022,2,west bengal,33542,41737021.0
2022,2,andhra pradesh,32185,41708072.0
2022,2,delhi,26378,31787281.0
2022,2,gujarat,25381,32090965.0
2022,3,karnataka,110273,144605784.0
2022,3,maharashtra,90958,113835208.0
2022,3,uttar pradesh,64514,87703512.0
2022,3,tamil nadu,64356,79747520.0
2022,3,kerala,54587,85390924.0
2022,3,telangana,51465,64798126.0
2022,3,west bengal,47853,59092307.0
2022,3,andhra pradesh,39301,48791931.0
2022,3,delhi,35944,41570160.0
2022,3,haryana,35346,45402800.0
2022,4,karnataka,133971,185063287.0
2022,4,maharashtra,125900,174915648.0
2022,4,tamil nadu,125491,146457790.0
2022,4,uttar pradesh,77022,116755813.0
2022,4,kerala,65563,103982997.0
2022,4,telangana,64655,88544127.0
2022,4,west bengal,54277,70466433.0
2022,4,delhi,48908,60603173.0
2022,4,andhra pradesh,44329,58043239.0
2022,4,rajasthan,40926,60792838.0
2022,1,karnataka,95640,130733580.0
2022,1,maharashtra,88015,117411928.0
2022,1,tamil nadu,47621,64969045.0
2022,1,uttar pradesh,45996,73014969.0
2022,1,west bengal,38779,51160527.0
2022,1,kerala,37110,64172190.0
2022,1,telangana,36325,51942016.0
2022,1,andhra pradesh,29954,42648157.0
2022,1,delhi,28232,35442069.0
2022,1,haryana,22783,32526943.0
