Year,Quarter,State,Transaction_count,Transaction_amount
2023,2,karnataka,2067867526,2777599098830.0
2023,2,maharashtra,2063717848,2606004606468.0
2023,2,telangana,1665430971,2698149935008.0
2023,2,andhra pradesh,1305656964,2506039086916.0
2023,2,uttar pradesh,1211410582,1836622076526.0
2023,2,rajasthan,1073459338,1698455586300.0
2023,2,madhya pradesh,848037060,1202440949508.0
2023,2,bihar,683933094,1226046745390.0
2023,2,west bengal,545317686,1009315106972.0
2023,2,odisha,544597829,799332054104.0
2023,3,karnataka,2369262302,2985880895587.0
2023,3,maharashtra,2290678587,2752172184241.0
2023,3,telangana,1875045924,2870202901073.0
2023,3,andhra pradesh,1475164403,2653414098098.0
2023,3,uttar pradesh,1354622466,1861748362006.0
2023,3,rajasthan,1237232167,1800225443616.0
2023,3,madhya pradesh,978812593,1237821998249.0
2023,3,bihar,734238751,1148153363366.0
2023,3,west bengal,632093191,1071548606382.0
2023,3,odisha,622397603,840298338124.0
2023,4,maharashtra,2572162725,3098014934958.0
2023,4,karnataka,2564434164,3241376424383.0
2023,4,telangana,2020822178,3116417474765.0
2023,4,andhra pradesh,1596987426,2802514977823.0
2023,4,uttar pradesh,1566705382,2257441161652.0
2023,4,rajasthan,1349472154,2066379607801.0
2023,4,madhya pradesh,1102294613,1426502880687.0
2023,4,bihar,924427274,1434735808415.0
2023,4,west bengal,737953238,1249394976078.0
2023,4,odisha,732137476,978791865637.0
2023,1,maharashtra,1848268499,2362285906059.0
2023,1,karnataka,1844697189,2470227226317.0
2023,1,telangana,1440331458,2372581734284.0
2023,1,andhra pradesh,1145532464,2249051316530.0
2023,1,uttar pradesh,1002557722,1636936265372.0
2023,1,rajasthan,921096686,1554913375850.0
2023,1,madhya pradesh,734566970,1062026599901.0
2023,1,bihar,547831195,1039276959944.0
2023,1,odisha,482896088,753968977663.0
2023,1,tamil nadu,461212387,715583673518.0
2021,2,maharashtra,573616486,915115055623.7152
2021,2,karnataka,530649046,837887151230.051
2021,2,telangana,495867544,1027958332797.5903
2021,2,andhra pradesh,352767134,850737499108.2987
2021,2,rajasthan,287477039,561702765169.2324
2021,2,uttar pradesh,241949131,482172489166.39343
2021,2,madhya pradesh,223314680,425500768035.631
2021,2,delhi,170157264,281941097684.5416
2021,2,bihar,155603622,374580255186.58875
2021,2,tamil nadu,146158442,263487341026.54623
2021,3,maharashtra,792874060,1159257305167.4514
2021,3,karnataka,753296539,1133234739157.5984
2021,3,telangana,622886768,1178289126292.2617
2021,3,andhra pradesh,432032550,984218035564.1218
2021,3,rajasthan,400284753,710511328542.4897
2021,3,madhya pradesh,311443334,504412603851.49896
2021,3,uttar pradesh,306543384,557080841279.8989
2021,3,delhi,238760608,383858316548.281
2021,3,tamil nadu,204357404,365207323053.92737
2021,3,bihar,187671113,397062760956.3983
2021,4,maharashtra,1010731502,1475358473128.29
2021,4,karnataka,931725438,1375471324349.8774
2021,4,telangana,775989773,1463758189500.9146
2021,4,andhra pradesh,522254003,1156264447083.9229
2021,4,rajasthan,487621597,903934418544.2667
2021,4,uttar pradesh,406157932,773890970072.1895
2021,4,madhya pradesh,404308084,656887492404.4789
2021,4,delhi,292683359,488695314062.3906
2021,4,tamil nadu,259155976,443723952594.79407
2021,4,bihar,245126945,519371614068.7477
2021,1,karnataka,523797492,754995357412.3948
2021,1,maharashtra,517860240,769887352153.2483
2021,1,telangana,412572110,799359264046.5657
2021,1,andhra pradesh,289747970,672444670176.5881
2021,1,rajasthan,252730919,491492581657.63354
2021,1,uttar pradesh,204499547,396287587577.55756
2021,1,madhya pradesh,201998498,343533954382.3015
2021,1,delhi,157359004,266928345043.49225
2021,1,tamil nadu,136556674,248668143873.65317
2021,1,west bengal,118254052,242937207475.51984
2018,2,maharashtra,22285740,36357057241.12254
2018,2,west bengal,18082446,18629183470.204285
2018,2,uttar pradesh,17710943,25720201695.701435
2018,2,karnataka,17116447,33515580081.29709
2018,2,andhra pradesh,12353918,22883914272.633617
2018,2,telangana,10764670,23017201517.652737
2018,2,madhya pradesh,10561412,15924081066.680984
2018,2,tamil nadu,9992128,20125844276.267662
2018,2,rajasthan,9973697,15559086175.759623
2018,2,delhi,9373723,17446299902.205147
2018,3,west bengal,53705416,41843934183.177635
2018,3,maharashtra,31538538,52260817733.24835
2018,3,odisha,30052155,23094515775.585762
2018,3,uttar pradesh,26515356,37012114369.23937
2018,3,karnataka,25980261,48225091755.80772
2018,3,andhra pradesh,25626061,35718044599.21416
2018,3,telangana,19332703,32030093209.72354
2018,3,delhi,18547048,27375846860.618515
2018,3,madhya pradesh,17126985,24149742204.673225
2018,3,tamil nadu,15774078,29330092241.18405
2018,4,maharashtra,46090223,79518937047.82959
2018,4,karnataka,44812071,73008386576.05942
2018,4,west bengal,36513548,40489619211.70402
2018,4,uttar pradesh,36100767,55096743575.91497
2018,4,andhra pradesh,30759548,51473779406.84041
2018,4,delhi,29187719,39722857618.706436
2018,4,telangana,28921154,49509088448.04927
2018,4,tamil nadu,22457444,43302073975.890976
2018,4,madhya pradesh,21397555,33905608072.964783
2018,4,odisha,21142798,23429869571.55922
2018,1,maharashtra,16387034,21711613257.725674
2018,1,uttar pradesh,12537805,13939970923.223106
2018,1,karnataka,12016899,19217895314.012802
2018,1,west bengal,11710225,10625978552.140453
2018,1,andhra pradesh,9039585,11996276391.823706
2018,1,telangana,8522766,13308204118.542435
2018,1,madhya pradesh,8025395,8681603403.446348
2018,1,rajasthan,7591690,8926293130.72684
2018,1,delhi,7122754,11211503806.91996
2018,1,tamil nadu,6726622,11261557697.516891
2019,2,karnataka,115401604,163702024226.0841
2019,2,maharashtra,101149853,153294470088.05945
2019,2,telangana,89610379,155676443182.43457
2019,2,uttar pradesh,58883500,98917519370.67831
2019,2,delhi,57171512,81706816063.62862
2019,2,andhra pradesh,56409015,113634518758.22931
2019,2,rajasthan,50009286,89107313172.66756
2019,2,west bengal,47023535,57105691119.11844
2019,2,madhya pradesh,40846013,68334566380.56182
2019,2,tamil nadu,32171737,64207676025.75553
2019,3,karnataka,170733735,214536720438.18292
2019,3,maharashtra,148735581,199617506744.94272
2019,3,telangana,121495376,201930021130.42365
2019,3,andhra pradesh,76288614,139447944254.78943
2019,3,delhi,69537876,103196812046.45712
2019,3,uttar pradesh,68623959,111268137475.02844
2019,3,rajasthan,67303617,112468290031.92343
2019,3,west bengal,66444829,70540532616.82985
2019,3,madhya pradesh,53610411,77676321491.22867
2019,3,odisha,41422272,57304577359.217094
2019,4,karnataka,237796252,295047143447.2384
2019,4,maharashtra,201260620,272994428799.56488
2019,4,telangana,163572258,280746765547.7425
2019,4,andhra pradesh,107218103,200948315488.80518
2019,4,west bengal,96805838,88203610254.64601
2019,4,uttar pradesh,86905005,145538926507.3059
2019,4,rajasthan,85074242,159452410049.68317
2019,4,delhi,80744997,129024467424.89066
2019,4,madhya pradesh,68131989,104687926790.8659
2019,4,odisha,64995633,79769373632.04843
2019,1,karnataka,86587609,117976382145.74966
2019,1,maharashtra,75079069,111420690920.33997
2019,1,telangana,65290702,95523262035.66321
2019,1,uttar pradesh,57324504,76524180134.0167
2019,1,andhra pradesh,57264522,83760595917.0792
2019,1,west bengal,47626388,50164672623.8785
2019,1,delhi,47007327,58469131789.49733
2019,1,rajasthan,43956040,61141158575.55252
2019,1,madhya pradesh,37301049,48070279522.042015
2019,1,odisha,34031942,35427127930.698456
2020,2,karnataka,213221712,321104877020.14185
2020,2,maharashtra,184790761,296359517159.4161
2020,2,telangana,152055143,321531839352.42236
2020,2,andhra pradesh,144917855,302583689746.5449
2020,2,rajasthan,101954656,193763273003.28284
2020,2,uttar pradesh,100851965,178744016130.31216
2020,2,madhya pradesh,76340573,147922015289.08447
2020,2,delhi,66042018,107873438203.3316
2020,2,west bengal,57676797,100099431877.35757
2020,2,bihar,53386742,128806523628.85289
2020,3,karnataka,300360531,470740515696.6945
2020,3,maharashtra,268310924,440307079012.4761
2020,3,telangana,236372126,505961144755.88367
2020,3,andhra pradesh,204902935,467084130584.9388
2020,3,rajasthan,149088676,293678306162.4698
2020,3,uttar pradesh,127405259,248689955423.05322
2020,3,madhya pradesh,108579881,205701679984.5376
2020,3,delhi,96491861,175163962804.6604
2020,3,west bengal,79954504,156813355855.1383
2020,3,bihar,71503748,173328865111.81442
2020,4,karnataka,431536984,658036698565.0032
2020,4,maharashtra,407621004,622155530832.2585
2020,4,telangana,343643787,696350439226.9452
2020,4,andhra pradesh,286118552,654841546033.3186
2020,4,rajasthan,190283435,386034779836.48376
2020,4,uttar pradesh,178167517,357428826778.2578
2020,4,madhya pradesh,153652541,284275139772.3589
2020,4,delhi,120540417,216265088224.54358
2020,4,tamil nadu,111179701,206473197500.99268
2020,4,west bengal,100340645,199165491365.6468
2020,1,karnataka,271033890,353402054999.4003
2020,1,maharashtra,238944081,319995196718.0683
2020,1,telangana,199409525,371343780368.2118
2020,1,andhra pradesh,127677357,252737214289.0485
2020,1,rajasthan,102258812,190308238561.00217
2020,1,uttar pradesh,97239132,172416434960.69037
2020,1,delhi,81747604,133616543642.58943
2020,1,madhya pradesh,79366746,126737281436.18527
2020,1,tamil nadu,66953473,116569686179.4346
2020,1,west bengal,66250381,96653305190.9406
2024,2,maharashtra,3063494802,3573189333587.0
2024,2,karnataka,3042012848,3785034703438.0
2024,2,telangana,2417264357,3461542433312.0
2024,2,uttar pradesh,2135538658,2704223360067.0
2024,2,andhra pradesh,1930122300,3181922420088.0
2024,2,rajasthan,1818855106,2497094537924.0
2024,2,madhya pradesh,1435472057,1779679946627.0
2024,2,bihar,1313888385,1886846564676.0
2024,2,west bengal,980480707,1547343815564.0
2024,2,odisha,944027735,1164839284001.0
2024,3,maharashtra,3287403995,3687268662139.0
2024,3,karnataka,3261134095,3907202566484.0
2024,3,telangana,2610137835,3551316976598.0
2024,3,uttar pradesh,2285955833,2717475205234.0
2024,3,andhra pradesh,2091371362,3226645607489.0
2024,3,rajasthan,1935405035,2472257715905.0
2024,3,madhya pradesh,1537738457,1761082466531.0
2024,3,bihar,1352876223,1780280473339.0
2024,3,west bengal,1084916445,1607643782237.0
2024,3,odisha,1023940349,1177233944634.0
2024,4,maharashtra,3634231839,4151028450887.0
2024,4,karnataka,3455056424,4151819803822.0
2024,4,telangana,2822451603,3859050535418.0
2024,4,uttar pradesh,2544890265,3214106522459.0
2024,4,andhra pradesh,2296445544,3452015568966.0
2024,4,rajasthan,2043469547,2793049371408.0
2024,4,madhya pradesh,1685401835,2003305068845.0
2024,4,bihar,1559667675,2098927476047.0
2024,4,west bengal,1227135682,1810100029406.0
2024,4,odisha,1143097568,1305457593239.0
2024,1,maharashtra,2835770481,3372898894856.0
2024,1,karnataka,2796439155,3485248654506.0
2024,1,telangana,2179385307,3203769301073.0
2024,1,uttar pradesh,1785296948,2477543106639.0
2024,1,andhra pradesh,1755428485,3012725669749.0
2024,1,rajasthan,1599474007,2350500173790.0
2024,1,madhya pradesh,1286156614,1625420229864.0
2024,1,bihar,1078734783,1637736864896.0
2024,1,odisha,864178452,1156388722536.0
2024,1,west bengal,836408587,1422025506833.0
2022,2,maharashtra,1407533113,2006272382175.9395
2022,2,karnataka,1277448960,1867146114059.214
2022,2,telangana,1063382557,1951414544517.106
2022,2,andhra pradesh,671134030,1479853948202.9197
2022,2,rajasthan,661170150,1152833518600.3425
2022,2,uttar pradesh,595298776,1067515182419.9624
2022,2,madhya pradesh,544899829,867024737328.533
2022,2,delhi,410634184,629855650458.2181
2022,2,bihar,360145029,754461454966.1152
2022,2,tamil nadu,354506937,590134727678.3616
2022,3,telangana,1628165401,2706325865752.0645
2022,3,maharashtra,1486389417,1947579187374.532
2022,3,karnataka,1189761328,1665918232610.9397
2022,3,rajasthan,767541360,1238489256318.2173
2022,3,madhya pradesh,731259559,1032908494249.5833
2022,3,uttar pradesh,703589072,1121370050898.7217
2022,3,andhra pradesh,642855035,1385077409712.0752
2022,3,delhi,475592161,677612647116.1133
2022,3,bihar,437367385,791446486557.8687
2022,3,tamil nadu,393496175,631879220373.2378
2022,4,telangana,1819506832,2978252562916.1367
2022,4,maharashtra,1688775272,2210470839617.1724
2022,4,karnataka,1378910371,1904516622907.6313
2022,4,madhya pradesh,898828268,1302999857548.291
2022,4,rajasthan,865574848,1456956699398.6523
2022,4,uttar pradesh,836369071,1376378802069.4856
2022,4,andhra pradesh,690017077,1424725083041.6873
2022,4,bihar,517084649,936012149674.8281
2022,4,delhi,515203457,744915016018.5759
2022,4,odisha,445714743,652217064523.9851
2022,1,maharashtra,1169506438,1681399273981.1611
2022,1,karnataka,1057855407,1566649488305.8838
2022,1,telangana,886453385,1670638169828.9993
2022,1,andhra pradesh,582603911,1294320646554.8625
2022,1,rajasthan,564962220,1022050180980.1362
2022,1,uttar pradesh,473953246,883123174117.0391
2022,1,madhya pradesh,472703058,747665139599.6421
2022,1,delhi,330999861,536964920836.2892
2022,1,tamil nadu,294573150,512789201600.616
2022,1,bihar,284390434,611411695731.1455
